RunID,PatronID,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime
0,0,1778883361521,1778883361523,1778883361548,2,2,27
0,1,1778883361637,1778883361637,1778883361687,0,0,50
0,0,1778883361650,1778883361696,1778883361896,46,46,246
0,1,1778883361788,1778883361906,1778883362107,118,118,319
0,0,1778883361907,1778883362115,1778883362155,208,208,248
0,1,1778883362117,1778883362164,1778883362189,47,47,72
0,2,1778883362124,1778883362198,1778883362223,74,74,99
0,3,1778883362208,1778883362232,1778883362307,24,24,99
0,0,1778883362266,1778883362315,1778883362341,49,49,75
0,1,1778883362340,1778883362349,1778883362389,9,9,49
0,2,1778883362374,1778883362398,1778883362473,24,24,99
0,3,1778883362388,1778883362482,1778883362507,94,94,119
0,4,1778883362447,1778883362515,1778883362565,68,68,118
0,1,1778883362500,1778883362574,1778883362595,74,74,95
0,2,1778883362554,1778883362604,1778883362664,50,50,110
0,1,1778883362599,1778883362672,1778883362743,73,73,144
0,3,1778883362607,1778883362751,1778883362776,144,144,169
0,4,1778883362666,1778883362785,1778883362856,119,119,190
0,2,1778883362775,1778883362864,1778883362889,89,89,114
0,3,1778883362877,1778883362898,1778883362974,21,21,97
0,2,1778883362990,1778883362990,1778883363015,0,0,25
0,4,1778883363006,1778883363024,1778883363049,18,18,43
0,3,1778883363084,1778883363085,1778883363110,1,1,26
0,2,1778883363116,1778883363120,1778883363195,4,4,79
0,5,1778883363191,1778883363204,1778883363224,13,13,33
0,4,1778883363200,1778883363234,1778883363284,34,34,84
0,3,1778883363211,1778883363292,1778883363318,81,81,107
0,5,1778883363228,1778883363326,1778883363402,98,98,174
0,2,1778883363276,1778883363410,1778883363430,134,134,154
0,6,1778883363381,1778883363439,1778883363464,58,58,83
0,4,1778883363385,1778883363472,1778883363498,87,87,113
0,2,1778883363434,1778883363557,1778883363582,123,123,148
0,6,1778883363615,1778883363615,1778883363665,0,0,50
0,4,1778883363648,1778883363674,1778883363699,26,26,51
0,6,1778883363766,1778883363766,1778883363816,0,0,50
0,4,1778883363850,1778883363850,1778883363875,0,0,25
0,4,1778883364026,1778883364026,1778883364046,0,0,20
0,7,1778883364243,1778883364243,1778883364269,0,0,26
0,8,1778883364326,1778883364326,1778883364352,0,0,26
0,7,1778883364370,1778883364370,1778883364470,0,0,100
0,8,1778883364503,1778883364503,1778883364568,0,0,65
0,7,1778883364592,1778883364592,1778883364667,0,0,75
0,7,1778883364748,1778883364748,1778883364768,0,0,20
0,7,1778883364772,1778883364777,1778883364852,5,5,80
0,7,1778883364963,1778883364963,1778883365003,0,0,40
0,9,1778883365586,1778883365586,1778883365647,0,0,61
0,0,1778883366679,1778883366680,1778883366705,1,1,26
0,1,1778883366795,1778883366795,1778883366846,0,0,51
0,0,1778883366807,1778883366877,1778883367077,70,70,270
0,1,1778883366946,1778883367109,1778883367310,163,163,364
0,0,1778883367088,1778883367341,1778883367382,253,253,294
0,2,1778883367282,1778883367413,1778883367438,131,131,156
0,1,1778883367321,1778883367470,1778883367496,149,149,175
0,3,1778883367366,1778883367527,1778883367603,161,161,237
0,0,1778883367493,1778883367635,1778883367660,142,142,167
0,2,1778883367589,1778883367692,1778883367732,103,103,143
0,4,1778883367605,1778883367764,1778883367839,159,159,234
0,1,1778883367646,1778883367871,1778883367896,225,225,250
0,3,1778883367684,1778883367928,1778883367978,244,244,294
0,2,1778883367843,1778883368010,1778883368030,167,167,187
0,4,1778883367920,1778883368062,1778883368122,142,142,202
0,1,1778883367997,1778883368154,1778883368224,157,157,227
0,2,1778883368034,1778883368256,1778883368281,222,222,247
0,3,1778883368079,1778883368313,1778883368383,234,234,304
0,4,1778883368233,1778883368415,1778883368440,182,182,207
0,5,1778883368349,1778883368472,1778883368547,123,123,198
0,1,1778883368375,1778883368579,1778883368604,204,204,229
0,2,1778883368382,1778883368637,1778883368662,255,255,280
0,3,1778883368534,1778883368695,1778883368720,161,161,186
0,6,1778883368539,1778883368754,1778883368829,215,215,290
0,4,1778883368541,1778883368860,1778883368881,319,319,340
0,5,1778883368658,1778883368912,1778883368962,254,254,304
0,2,1778883368813,1778883368994,1778883369019,181,181,206
0,3,1778883368821,1778883369052,1778883369127,231,231,306
0,4,1778883368884,1778883369158,1778883369179,274,274,295
0,6,1778883368910,1778883369210,1778883369235,300,300,325
0,2,1778883369170,1778883369267,1778883369293,97,97,123
0,4,1778883369182,1778883369324,1778883369349,142,142,167
0,3,1778883369238,1778883369381,1778883369431,143,143,193
0,6,1778883369386,1778883369462,1778883369488,76,76,102
0,7,1778883369402,1778883369519,1778883369570,117,117,168
0,2,1778883369443,1778883369602,1778883369627,159,159,184
0,4,1778883369450,1778883369659,1778883369679,209,209,229
0,8,1778883369485,1778883369711,1778883369736,226,226,251
0,7,1778883369671,1778883369768,1778883369793,97,97,122
0,4,1778883369683,1778883369825,1778883369925,142,142,242
0,8,1778883369837,1778883369956,1778883370022,119,119,185
0,7,1778883369944,1778883370053,1778883370128,109,109,184
0,7,1778883370209,1778883370209,1778883370229,0,0,20
0,7,1778883370233,1778883370261,1778883370336,28,28,103
0,7,1778883370447,1778883370447,1778883370488,0,0,41
0,9,1778883370744,1778883370745,1778883370805,1,1,61
0,0,1778883371926,1778883371927,1778883371952,1,1,26
0,1,1778883372038,1778883372141,1778883372192,103,103,154
0,0,1778883372054,1778883372236,1778883372436,182,182,382
0,1,1778883372293,1778883372480,1778883372680,187,187,387
0,0,1778883372447,1778883372723,1778883372764,276,276,317
0,2,1778883372525,1778883372807,1778883372833,282,282,308
0,3,1778883372609,1778883372878,1778883372904,269,269,295
0,1,1778883372691,1778883372949,1778883373024,258,258,333
0,4,1778883372848,1778883373067,1778883373093,219,219,245
0,0,1778883372874,1778883373136,1778883373177,262,262,303
0,2,1778883372983,1778883373220,1778883373295,237,237,312
0,3,1778883373055,1778883373340,1778883373365,285,285,310
0,1,1778883373105,1778883373409,1778883373460,304,304,355
0,4,1778883373193,1778883373503,1778883373523,310,310,330
0,2,1778883373376,1778883373567,1778883373627,191,191,251
0,3,1778883373466,1778883373671,1778883373741,205,205,275
0,4,1778883373527,1778883373784,1778883373809,257,257,282
0,1,1778883373560,1778883373853,1778883373923,293,293,363
0,5,1778883373592,1778883373967,1778883373992,375,375,400
0,2,1778883373738,1778883374035,1778883374110,297,297,372
0,6,1778883373782,1778883374154,1778883374180,372,372,398
0,3,1778883373892,1778883374223,1778883374249,331,331,357
0,4,1778883373910,1778883374293,1778883374318,383,383,408
0,1,1778883374074,1778883374362,1778883374437,288,288,363
0,5,1778883374093,1778883374481,1778883374501,388,388,408
0,2,1778883374221,1778883374544,1778883374595,323,323,374
0,6,1778883374281,1778883374638,1778883374663,357,357,382
0,3,1778883374399,1778883374709,1778883374785,310,310,386
0,4,1778883374419,1778883374828,1778883374848,409,409,429
0,7,1778883374644,1778883374893,1778883374918,249,249,274
0,2,1778883374695,1778883374962,1778883374987,267,267,292
0,8,1778883374728,1778883375030,1778883375056,302,302,328
0,6,1778883374814,1778883375099,1778883375150,285,285,336
0,4,1778883374852,1778883375193,1778883375218,341,341,366
0,3,1778883374895,1778883375261,1778883375312,366,366,417
0,7,1778883375069,1778883375356,1778883375381,287,287,312
0,2,1778883375138,1778883375425,1778883375445,287,287,307
0,8,1778883375156,1778883375489,1778883375515,333,333,359
0,4,1778883375369,1778883375558,1778883375584,189,189,215
0,2,1778883375449,1778883375627,1778883375727,178,178,278
0,7,1778883375532,1778883375771,1778883375836,239,239,304
0,4,1778883375734,1778883375880,1778883375956,146,146,222
0,7,1778883375887,1778883375999,1778883376019,112,112,132
0,9,1778883375987,1778883376067,1778883376143,80,80,156
0,7,1778883376023,1778883376186,1778883376226,163,163,203
0,7,1778883376337,1778883376337,1778883376398,0,0,61
0,0,1778883377350,1778883377351,1778883377376,1,1,26
0,1,1778883377457,1778883377665,1778883377715,208,208,258
0,0,1778883377478,1778883377979,1778883378180,501,501,702
0,1,1778883377816,1778883378437,1778883378637,621,621,821
0,2,1778883377944,1778883378895,1778883378935,951,951,991
0,3,1778883378028,1778883379193,1778883379218,1165,1165,1190
0,0,1778883378190,1778883379476,1778883379501,1286,1286,1311
0,4,1778883378267,1778883379759,1778883379835,1492,1492,1568
0,1,1778883378648,1778883380093,1778883380118,1445,1445,1470
0,5,1778883379011,1778883380408,1778883380449,1397,1397,1438
0,2,1778883379046,1778883380707,1778883380782,1661,1661,1736
0,6,1778883379201,1778883381040,1778883381065,1839,1839,1864
0,3,1778883379369,1778883381323,1778883381373,1954,1954,2004
0,0,1778883379652,1778883381631,1778883381652,1979,1979,2000
0,4,1778883379916,1778883381911,1778883381971,1995,1995,2055
0,7,1778883380064,1778883382229,1778883382299,2165,2165,2235
0,8,1778883380147,1778883382557,1778883382583,2410,2410,2436
0,1,1778883380219,1778883382840,1778883382911,2621,2621,2692
0,5,1778883380560,1778883383169,1778883383194,2609,2609,2634
0,2,1778883380863,1778883383452,1778883383527,2589,2589,2664
0,6,1778883381166,1778883383786,1778883383811,2620,2620,2645
0,9,1778883381406,1778883384069,1778883384095,2663,2663,2689
0,3,1778883381474,1778883384352,1778883384377,2878,2878,2903
0,4,1778883382082,1778883384635,1778883384710,2553,2553,2628
