Algorithm,PatronCount,Seed,UniquePatrons,OrdersCompleted,Runtime(ms),Throughput
FCFS,10,7,10,46,4118,0.011170471102476931
FCFS,10,30,10,46,4292,0.010717614165890028
FCFS,10,42,10,46,13937,0.0033005668364784386
FCFS,10,256,10,46,25462,0.0018066137773937632
FCFS,10,512,10,46,47366,0.00097116074821602
FCFS,10,999,20,91,6285,0.014478918058870326
FCFS,20,7,20,91,8159,0.011153327613678148
FCFS,20,30,20,91,9234,0.009854884123889972
FCFS,20,42,20,91,28481,0.003195112531161125
FCFS,20,256,20,91,51495,0.0017671618603747937
FCFS,20,512,20,91,95366,0.0009542184845752155
FCFS,20,999,30,145,9514,0.015240697918856422
FCFS,30,7,30,145,12936,0.011209029066171923
FCFS,30,30,30,145,14633,0.009909109546914508
FCFS,30,42,30,145,45334,0.0031984823752591873
FCFS,30,256,30,145,82174,0.0017645483973032833
FCFS,30,512,30,145,152332,0.0009518682876874196
FCFS,30,999,50,258,16562,0.01557782876464195
FCFS,50,7,50,258,22549,0.011441749079781809
FCFS,50,30,50,258,25567,0.010091133101263347
FCFS,50,42,50,258,80705,0.0031968279536583855
FCFS,50,256,50,258,146435,0.0017618738689520947
FCFS,50,512,50,258,271596,0.0009499403525825123
FCFS,50,999,70,353,22911,0.015407446204879752
FCFS,70,7,70,353,30874,0.01143356869858133
FCFS,70,30,70,353,35093,0.010058986122588551
FCFS,70,42,70,353,110327,0.003199579432051991
FCFS,70,256,70,353,200570,0.0017599840454704094
FCFS,70,512,70,353,371900,0.0009491798870664157
FCFS,70,999,100,435,28069,0.015497523958815776
FCFS,100,7,100,435,38128,0.011408938313050777
FCFS,100,30,100,435,43616,0.00997340425531915
FCFS,100,42,100,435,136197,0.003193902949404172
FCFS,100,256,100,435,247302,0.0017589829439309023
FCFS,100,512,100,435,458650,0.0009484356262945601
MLFQ,10,7,10,46,4120,0.01116504854368932
MLFQ,10,30,10,46,4297,0.010705143123109146
MLFQ,10,42,10,46,13985,0.0032892384697890595
MLFQ,10,256,10,46,25463,0.0018065428268467974
MLFQ,10,512,10,46,47376,0.0009709557581898008
MLFQ,10,999,20,91,6120,0.014869281045751633
MLFQ,20,7,20,91,8115,0.011213801601971657
MLFQ,20,30,20,91,9172,0.00992150021805495
MLFQ,20,42,20,91,28505,0.003192422382038239
MLFQ,20,256,20,91,51512,0.0017665786612828078
MLFQ,20,512,20,91,95357,0.0009543085457805929
MLFQ,20,999,30,145,9597,0.015108888194227362
MLFQ,30,7,30,145,12872,0.011264760720944686
MLFQ,30,30,30,145,14552,0.009964266080263882
MLFQ,30,42,30,145,45375,0.0031955922865013774
MLFQ,30,256,30,145,82223,0.0017634968317867263
MLFQ,30,512,30,145,152390,0.0009515060043309929
MLFQ,30,999,50,258,16534,0.015604209507681143
MLFQ,50,7,50,258,22534,0.011449365403390432
MLFQ,50,30,50,258,25561,0.010093501819177654
MLFQ,50,42,50,258,80603,0.00320087341662221
MLFQ,50,256,50,258,146453,0.0017616573235099315
MLFQ,50,512,50,258,271576,0.0009500103101894129
MLFQ,50,999,70,353,22831,0.015461434015154834
MLFQ,70,7,70,353,30919,0.01141692810246127
MLFQ,70,30,70,353,34969,0.010094655266092826
MLFQ,70,42,70,353,110289,0.00320068184497094
MLFQ,70,256,70,353,200468,0.0017608795418720194
MLFQ,70,512,70,353,371888,0.0009492105149937615
MLFQ,70,999,100,435,28057,0.015504152261467726
MLFQ,100,7,100,435,38103,0.011416423903629635
MLFQ,100,30,100,435,43333,0.010038538757990446
MLFQ,100,42,100,435,136215,0.0031934808941746504
MLFQ,100,256,100,435,247372,0.0017584851963843926
MLFQ,100,512,100,435,458735,0.0009482598886067119
PRIORITY,10,7,10,46,4115,0.01117861482381531
PRIORITY,10,30,10,46,4308,0.010677808727948004
PRIORITY,10,42,10,46,13935,0.0033010405453893074
PRIORITY,10,256,10,46,25491,0.0018045584716174336
PRIORITY,10,512,10,46,47374,0.0009709967492717524
PRIORITY,10,999,20,91,6245,0.01457165732586069
PRIORITY,20,7,20,91,8364,0.010879961740793878
PRIORITY,20,30,20,91,9301,0.009783894204924202
PRIORITY,20,42,20,91,28480,0.0031952247191011237
PRIORITY,20,256,20,91,51516,0.0017664414939048063
PRIORITY,20,512,20,91,95348,0.0009543986239879179
PRIORITY,20,999,30,145,9686,0.014970059880239521
PRIORITY,30,7,30,145,12901,0.01123943880319355
PRIORITY,30,30,30,145,14598,0.009932867516098096
PRIORITY,30,42,30,145,45338,0.0031982001852750453
PRIORITY,30,256,30,145,82217,0.0017636255275672915
PRIORITY,30,512,30,145,152348,0.0009517683198991782
PRIORITY,30,999,50,258,17180,0.015017462165308498
PRIORITY,50,7,50,258,22803,0.01131430074990133
PRIORITY,50,30,50,258,25881,0.009968702909470268
PRIORITY,50,42,50,258,80630,0.0031998015626937865
PRIORITY,50,256,50,258,146456,0.0017616212377778993
PRIORITY,50,512,50,258,271652,0.0009497445260848439
PRIORITY,50,999,70,353,23025,0.015331161780673182
PRIORITY,70,7,70,353,30980,0.011394448030987735
PRIORITY,70,30,70,353,35248,0.010014752610077168
PRIORITY,70,42,70,353,110365,0.003198477778281158
PRIORITY,70,256,70,353,200430,0.001761213391208901
PRIORITY,70,512,70,353,371897,0.0009491875438629513
PRIORITY,70,999,100,435,28566,0.015227893299726947
PRIORITY,100,7,100,435,38511,0.011295474020409754
PRIORITY,100,30,100,435,43523,0.009994715437814489
PRIORITY,100,42,100,435,136161,0.003194747394628418
PRIORITY,100,256,100,435,247313,0.0017589047077994282
PRIORITY,100,512,100,435,458650,0.0009484356262945601
SJF,10,7,10,46,4123,0.011156924569488236
SJF,10,30,10,46,4310,0.010672853828306265
SJF,10,42,10,46,13994,0.003287123052736887
SJF,10,256,10,46,25438,0.0018083182640144665
SJF,10,512,10,46,47368,0.000971119743286607
